Number Of Loans,Average Principal,Past One Month,Past Three Months,Average Over Due Days,Low/High Risk
59,23262.71,0.0,0.0,0.0,0
23,31739.13,34.87,100.65,0.0,0
36,17111.11,0.0,0.0,0.0,0
111,27873.87,0.0,0.07,0.0,0
59,30491.53,0.0,0.0,0.0,0
1,20000.0,0.0,0.0,0.0,0
97,26974.23,0.0,0.16,0.0,0
25,32200.0,0.0,0.0,0.0,0
20,36500.0,0.0,0.0,0.0,0
40,25475.0,0.0,0.0,0.0,0
37,40918.92,0.0,0.0,0.0,0
8,20625.0,0.0,0.0,0.0,0
79,54651.9,1.22,4.25,0.0,0
15,15000.0,0.0,0.0,0.0,0
63,28539.68,3.32,5.27,0.79,0
39,41641.03,0.0,0.0,0.0,0
87,42540.23,0.0,0.02,0.0,0
63,49141.27,0.41,1.02,0.0,0
106,13018.87,0.0,0.0,0.0,0
19,17526.32,0.0,0.0,0.0,0
97,43845.36,0.47,0.49,0.51,0
52,25788.46,0.0,0.0,0.0,0
23,36521.74,0.0,0.0,0.0,0
